
prfssrstein,1160.7041568070076
elitefourvoice,954.2698639112137
laurenisfit,1115.867277327998
prot0pod,1062.1468250344476
aesf,1078.9832166138774
profpoodle,920.6388092822602
assaultvestmantine,NaN
ralphonso,NaN
in4d,1096.0506528194492
windscythescizor,1077.9493998978548
alphazapdos,1255.8662664481474
chakra,NaN
lawsebax,1083.4238658187849
blackpepper511,984.736306793522
flicette,NaN
sexymaster,984
pablomaster,NaN
callme911,1058.6545440262776
shinyhunterash,1001.6436145532638
aefaefaefa,1045.3476313803835
theroaringshinies,967.4642710878653
seenbean,1022.0627433657679
rickyparpix,1106.8819379684599
yoshi2410,1080.3520388632662
latios1000,996.4104717937214
franchescoenzo,NaN
cobracorp,1103.7066561179952
assaultvestaudino,946.1287055057834
wsdfg,1103.6137152594783
spammyspammington,1048.629052400117
coolbeansssss,935.3122899748147
tditdatdwt,994.561560985717
toxicblast,1021.3023929661642
rox0923,1103.9084674645067
notblamelies,999.9739143977912
johnnysalinecc,1126.050375549372
avchimecho,929.0760517476581
ginntonic,985.7421844724988
qrizby,958.4951980334192
feliteashjedi,975.5089830844868
sangrit,979.3152305051094
nonstopkevn,NaN
mrzoroark,984.6687643190155
kafkablack,NaN
cleanerthanrotomw,1081.169888511301
furfrouisdabest,983.017183233401
republicanobama,1048.7216446501707
frostmedic,985.4765579637326
galewingsgliscor,1098.024516174002
qrizbydoinwork,987.7070540139721
korps,NaN
spenyex,NaN
brayleron,1046.5262006683797
feeboss,NaN
tjust7896,937.3243246512133
madasthehatter,NaN
davidj,1187.4463712938652
teckelgatitow,1029.5436179548885
takahashihikari,954.0687995721412
doritosandkush,1152.0394730453693
dannyban,1011.4365218329806
pipluphater,1004.45154583243
shinyhunter1001,1047.6649600203411
paperangel,984.3397903838148
johnnymorgan,1127.9094590488883
mssysbit,1138.4060146635588
giantsdms,1067.7675280587423
ekanssnake,984.116856163160404
evlsoul,1060.8892869607846
agentanteater,1156.3684115871974
xxpoondiverxx,1015.1509335477343
jasothespinda,981.1373053840576
munched,988.5003649954947
sacrisis,1055.1491630259086
arcanine1204,1137.7660263225678
connorthegoodra,NaN
busterthekitty,941.7185455679863
jefflu123,975.8688658305504
sidous,1080.6594229899515
lauplaus,1093.985855684864
absolsweep,976.4021547063612
mccann,1120.8921771907721
darkiway,985.6529313556578
pokefan09,966.376239989876
commmandapanda,1104.1950031469
scf,994.1737238227917
shadesking,981.8143792235496
aeliteaknolan,968.6941534179809
josechemaria,956.6515097171136
evilesputo,985.6726698310996
tazildayah,1051.5754477522332
